ID,Request_Number,Sender,Sender_Location,Request,Language_Request,Recipient,Recipient_Location,Request_reason
151_1,NA,Child,"Lake Charles, LA",Soldier's Last Letter,English,Parent,"San Antonio, TX",War
151_2,NA,Sibling,"Lake Charles, LA",Home In San Antonio,English,Sibling,"San Antonio, TX",War
156_1,NA,Unspecified,"Welsh, LA",Smoke on the Water,English,Unspecified,Unspecified,Regular Listener
158_1,NA,Unspecified,"Church Point, LA",Jolie Blonde,French,Unspecified,Stationed,War
164_1,NA,Unspecified,"Grand Chenier, LA",Hackberry Hop,Unclear,Unspecified,Unspecified,Unspecified
169_1,NA,Unspecified,"Kinder, LA",Soldier's Last Letter,English,Unspecified,"Orange, TX",Unspecified
174_1,NA,Unspecified,"Welsh, LA",Pipeliner Blues,Unclear,Unspecified,Unspecified,Regular Listener
18_1,NA,Unspecified,"Lacassine, LA",Born to Lose,English,Unspecified,"Lacassine, LA",Special Occasion
180_1,NA,Child,"Jennings, LA",Any Song,French,Parent,"Jennings, LA",Regular Listener
181_1,NA,Unspecified,"Hackberry, LA",Too Late To Worry Too Blue To Cry,English,Unspecified,Stationed,Unspecified
21_1,NA,Unspecified,"Lacassine, LA",God Bless My Darling He's Somewhere,English,Unspecified,"Lacassine, LA",Unspecified
21_2,NA,Unspecified,"Lacassine, LA",Dusty Skies,English,Unspecified,"Lacassine, LA",Unspecified
23_1,NA,Unspecified,"Lake Charles, LA",Milk Cow Blues,English,Unspecified,Unspecified,Unspecified
28_1,NA,Sibling,"Sulphur, LA",Mairzy Doats,English,Sibling,Unspecified,Regular Listener
62_1,NA,Child,"Gueydan, LA",Jolie Blonde,French,Parent,"Gueydan, LA",Unspecified
67_1,NA,Sibling,"Elton, LA",Drunken Blues,English,Sibling,Stationed,War
72_1,7,Unspecified,"De Quincy, LA",Don't Let Your Sweet Love Die,English,Unspecified,Stationed,War
79_1,NA,Unspecified,"Lake Charles, LA",Jolie Blonde,French,Unspecified,"Iowa, LA",Unspecified
